importId;name;code;workshopStockLocation_name;company_code;statusSelect;product_code
;PP 1005-1 AGRESIVE VEST;PP-1005-1;Main Workshop;BASE;3;1005-1
;PP 1006-1 CINTURILLA ULTRACINTURA - ULTRA WAISTBAND;PP-1006-1;Main Workshop;BASE;3;1006-1
;PP 1008-1 ULTRA EXTREME VEST;PP-1008-1;Main Workshop;BASE;3;1008-1
;PP 1012-1 MONICA;PP-1012-1;Main Workshop;BASE;3;1012-1
;PP 1016-1 ISABEL;PP-1016-1;Main Workshop;BASE;3;1016-1
;PP 1024AE-1 EXCELENCIA BROCHE SHORT TORSO ABROCHADURA;PP-1024AE-1;Main Workshop;BASE;3;1024AE-1
;PP 1024B-1 EXCELENCIA CIERRE;PP-1024B-1;Main Workshop;BASE;3;1024B-1
;PP 1028-1 MOULIN ROUGE;PP-1028-1;Main Workshop;BASE;3;1028-1
;PP 1034A-1 EXCELENCIA DELUXE BROCHE;PP-1034A-1;Main Workshop;BASE;3;1034A-1
;PP 1034B-1 EXCELENCIA DELUXE CIERRE;PP-1034B-1;Main Workshop;BASE;3;1034B-1
;PP 1045-1 SHORT AMALIA;PP-1045-1;Main Workshop;BASE;3;1045-1
;PP 1049B-1 CANDICE CIERRE AL LADO;PP-1049B-1;Main Workshop;BASE;3;1049B-1
;PP 1061A-1 BRALESS PANTY-SENOS LIBRES PANTY;PP-1061A-1;Main Workshop;BASE;3;1061A-1
;PP 1063-1 AIDE;PP-1063-1;Main Workshop;BASE;3;1063-1
;PP 1064-1 SHANON;PP-1064-1;Main Workshop;BASE;3;1064-1
;PP 1097-1 SHAKIRA;PP-1097-1;Main Workshop;BASE;3;1097-1
;PP 1309-1 CRYSTAL;PP-1309-1;Main Workshop;BASE;3;1309-1
;PP 1310-1 CRYSTAL LARGO RODILLA;PP-1310-1;Main Workshop;BASE;3;1310-1
;PP 1322-1 APASIONADA;PP-1322-1;Main Workshop;BASE;3;1322-1
;PP 1352-1 LA CHINGONA;PP-1352-1;Main Workshop;BASE;3;1352-1
;PP 1374-1 BICHI;PP-1374-1;Main Workshop;BASE;3;1374-1
;PP 1503-1 LUNA;PP-1503-1;Main Workshop;BASE;3;1503-1
;PP 1505-1 VICTORIA;PP-1505-1;Main Workshop;BASE;3;1505-1
;PP 1506-1 ANTONELLA;PP-1506-1;Main Workshop;BASE;3;1506-1
;PP 1516-1 SHORT ESPAÑA;PP-1516-1;Main Workshop;BASE;3;1516-1
;PP 1532-1 LEONOR;PP-1532-1;Main Workshop;BASE;3;1532-1
;PP 1533-1 LARA;PP-1533-1;Main Workshop;BASE;3;1533-1
;PP 1563-1 MAGIC BUTTOCKS TIRA BRASIER;PP-1563-1;Main Workshop;BASE;3;1563-1
;PP 1565-1 MAGIC STRAPLESS CACHETERA;PP-1565-1;Main Workshop;BASE;3;1565-1
;PP 1566-1 MAGIC BUTTOCKS;PP-1566-1;Main Workshop;BASE;3;1566-1
;PP 1568-1 DENISSE;PP-1568-1;Main Workshop;BASE;3;1568-1
;PP 1569-1 AILEEN;PP-1569-1;Main Workshop;BASE;3;1569-1
;PP 1570-1 ROXY;PP-1570-1;Main Workshop;BASE;3;1570-1
;PP 1572-1 KANI;PP-1572-1;Main Workshop;BASE;3;1572-1
;PP 1576-1 GLAMUROSA;PP-1576-1;Main Workshop;BASE;3;1576-1
;PP 1590-1 SHORT UP SEXY;PP-1590-1;Main Workshop;BASE;3;1590-1
;PP 1597-1 REGIA;PP-1597-1;Main Workshop;BASE;3;1597-1
;PP 1621-1 BIANKA;PP-1621-1;Main Workshop;BASE;3;1621-1
;PP 2009-1 SHINE;PP-2009-1;Main Workshop;BASE;3;2009-1
;PP 3001-1 GENESIS;PP-3001-1;Main Workshop;BASE;3;3001-1
;PP 310-1 REVELDE (CORSET) 1 ROJA- 2 NEGRO;PP-310-1;Main Workshop;BASE;3;310-1
;PP 5015-1 PRINCESS;PP-5015-1;Main Workshop;BASE;3;5015-1
;PP 5030-1 VIVIS;PP-5030-1;Main Workshop;BASE;3;5030-1
;PP 5031-1 RUTH;PP-5031-1;Main Workshop;BASE;3;5031-1
;PP 5036-1 JOSEFINA;PP-5036-1;Main Workshop;BASE;3;5036-1
;PP 5040-1 RACHELL CACHETERA;PP-5040-1;Main Workshop;BASE;3;5040-1
;PP 5054B-1 Latex Body Strapless Thong;PP-5054B-1;Main Workshop;BASE;3;5054B-1
;PP 5055A-1 EVA BROCHE;PP-5055A-1;Main Workshop;BASE;3;5055A-1
;PP 5056-1 ELENA;PP-5056-1;Main Workshop;BASE;3;5056-1
;PP 5090-1 DELUXE GUITAR LONG LEG;PP-5090-1;Main Workshop;BASE;3;5090-1
;PP 5095-1 DELUXE GUITAR BODY;PP-5095-1;Main Workshop;BASE;3;5095-1
;PP 6056-1 PAULINA;PP-6056-1;Main Workshop;BASE;3;6056-1
;PP 6147-1 VIOLETA;PP-6147-1;Main Workshop;BASE;3;6147-1
;PP 7012-1 LEGGINS MADONNA;PP-7012-1;Main Workshop;BASE;3;7012-1
;PP 7082-1 THICKY THICK;PP-7082-1;Main Workshop;BASE;3;7082-1
;PP 9175-1 ARENA;PP-9175-1;Main Workshop;BASE;3;9175-1
;PP 9451-1 MARYLIN;PP-9451-1;Main Workshop;BASE;3;9451-1
;PP 9461-1 HEIDY;PP-9461-1;Main Workshop;BASE;3;9461-1
;PP 9551-1 SELENA;PP-9551-1;Main Workshop;BASE;3;9551-1
;PP 9553-1 KOURTNEY (STAGE 2);PP-9553-1;Main Workshop;BASE;3;9553-1
;PP 9561-1 JAYDEN;PP-9561-1;Main Workshop;BASE;3;9561-1
;PP 9563-1 LUCY (STAGE 2);PP-9563-1;Main Workshop;BASE;3;9563-1
;PP 9565-1 ELLIE;PP-9565-1;Main Workshop;BASE;3;9565-1
;PP F1575F-1 AILEEN ALTO;PP-F1575F-1;Main Workshop;BASE;3;F1575F-1
;PP FP1006-1 CINTURILLA ULTRACINTURA - ULTRA WAISTBAND;PP-FP1006-1;Main Workshop;BASE;3;FP1006-1
;PP FP1024S-1 EXCELENCIA CIERRE;PP-FP1024S-1;Main Workshop;BASE;3;FP1024S-1
;PP FP1491-1 CURVA MAGICA TIRA BRASIER;PP-FP1491-1;Main Workshop;BASE;3;FP1491-1
;PP FP1509-1 MENTONERA VELCRO;PP-FP1509-1;Main Workshop;BASE;3;FP1509-1
