importId;prodProcess_code;name;priority;workCenter_code;description;minCapacityPerCycle;maxCapacityPerCycle;durationPerCycle_seconds
;PP-1005-1;PRE VERIFICACION;1;;TODAS LAS PUNTADAS SE DEBEN DE VERIFICAR QUE NO REVIENTEN ANTES DE INICIAR EL PROCESO EN LAS PRENDAS, PARA EL TAPAVARILLA DEL DELANTERO (CIERRE): SE COLOCA PLANTILLA A LOS 2 CM DEL ORILLO DEL FRENTE PARA TODAS LAS TALLAS. PRENDA CON DOBLE SISTEMA DE AJUSTE PARTE INTERNA BROCHE, SE PREPARA LOS DELANTEROS BROCHES COMPLETOS PARA FIJARSE A LA PRENDA. PARTE EXTERNA CIERRE, SE PREPARA REF CON EL CIERRE Y SE FIJA LA PERTE INTERNA DE LOS BROCHES CON TAPAVARILLAS;0;0;0
;PP-1005-1;CORTE CO1;2;CORTE;"PROCESO DELANTERO: CORTAR SEGUN MINI TRAZO, VERIFICAR LAS ESPECIFICACIONES DEL MINI TRAZO, VERIFICAR QUE LAS LETRAS DEL TRAZO NO ESTEN MONTADAS, CORTE ENTREGA 1 TRAZO POR CADA COLOR A CORTAR, ASI TODAS LAS PIEZAS QUEDAN CON SU RESPECTIVO MOLDE. ENTREGAR REF COMPLETA A MODULO DE ALFILERADO, MARCAR LOS TIQUETES SEGUN PAQUETE CON LA REFERENCIA Y NOMBRE QUE CORRESPONDE DEL CLIENTE, PAQUETEADO POR SEPARADO DELANTEROS Y POSTERIORES, COLAS, COPAS, MANGAS PAQUETEANDO POR SEPARADO Y EN BOLSAS TRANSPARENTES CON TIQUETES MARCADOS EN REF, TALLA, COLOR, MARQUILLA, PAQUETE, CLIENTE. 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : CORTAR SEGUN MINI TRAZO, VER MUESTRA FISICA";0;0;0
;PP-1005-1;CORTE CO2;3;CORTE;"PROCESO DELANTERO: ENTREGAR REF COMPLETA A MODULO DE ALFILERADO, MARCAR LOS TIQUETES SEGUN PAQUETE CON LA REFERENCIA Y NOMBRE QUE CORRESPONDE DEL CLIENTE, PAQUETEADO POR SEPARADO DELANTEROS Y POSTERIORES, COLAS, COPAS, MANGAS PAQUETEANDO POR SEPARADO Y EN BOLSAS TRANSPARENTES CON TIQUETES MARCADOS EN REF, TALLA, COLOR, MARQUILLA, PAQUETE, CLIENTE. 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : ENTREGAR A ALFILERADO, VER MUESTRA FISICA";0;0;0
;PP-1005-1;MANUAL MN3;4;MANUAL;"PROCESO DELANTERO: CORTAR ABROCHADURA SEGUN REFERENCIA Y TALLA, VERIFICAR CON MANUAL 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : CORTAR ABROCHADURA 3 HILERAS, VER MUESTRA FISICA";0;0;0
;PP-1005-1;ALFILERADO REF: 1003 Y 1008 A2;5;ALFILERADO REF: 1003 Y 1008;"PROCESO DELANTERO: ALFILERAR DELANTERO CON DELANTERO FORRO, ALFILERAR DELANTERO INTERNO CON DELANTERO INTERNO FORRO (DOBLE SISTEMA DE AJUSTE)ENTREGAR REFERENCIA A PRODUCCION 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : ALFILERAR DELANTERO DOBLE SISTEMA DE AJUSTE 40 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;ALFILERADO A5;6;ALFILERADO;"PROCESO DELANTERO: ALFILERAR POSTERIOR CON POSTERIOR FORRO (+ POSTERIOR EXTERNO LYCRA SI LA REFERENCIA LO TIENE) SEGUN DISEÑO, ENTREGAR REFERENCIA A PRODUCCION 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : ALFILERAR POSTERIOR X2, VER MUESTRA FISICA";0;0;0
;PP-1005-1;ALFILERADO ENTREGA COMPLETO AE;7;ALFILERADO ENTREGA COMPLETO;"PROCESO DELANTERO: SE ENTREGA REFERENCIA COMPLETA A PRODUCCION MAQUINAS
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : ENTREGAR A PRODUCCION, VER MUESTRA FISICA";0;0;0
;PP-1005-1;FILETEADORA LOOPER CIEGO F3;8;FILETEADORA LOOPER CIEGO;"PROCESO DELANTERO: UNIR COSTADO DELANTERO CON POSTERIOR X 2 Y POSTERIOR ESPALDA X 1
PUNTADAS POR PULGADAS P X P: 18
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : UNIR CON LOOPER CIEGO X 3 - 60/U, VER MUESTRA FISICA";0;0;0
;PP-1005-1;FLATSE MEAR REFUERZO FLF;9;"FLATSE MEAR REFUERZO ";"PROCESO DELANTERO: HACER COSTURAS DE REFUERZO EN UNIONES DE FILETEADORA LOOPER CIEGO 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : REFUERZO DE COSTURAS, VER MUESTRA FISICA";0;0;0
;PP-1005-1;FILETEADORA FF;10;"FILETEADORA ";"PROCESO DELANTERO: FILETEAR FRENTE DELANTERO SI LLEVA ABROCHADURA EN EL DELANTERO, FILETEAR FRENTE DELANTERO Y LA PARTE INFERIOR SI LLEVA CIERRE SEPARARABLE
PUNTADAS POR PULGADAS P X P: 12
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : FILETEAR DELANTERO 120 X H, VER MUESTRA FISICA";0;0;0
